name,url,exchange,ticker,business_activity,sector,industry,market_cap,currency,similarity_score,market_cap_formatted
Ralph Lauren Corporation,https://www.ralphlauren.com,NYQ,RL,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally. It offers apparel, including a range of men's, women's, and children's clothing; footwear and accessories, which comprise casual shoes, dress shoes, boots, sneakers, sandals, eyewear, watches, fashion and fine jewelry, scarves, hats, gloves, and umbrellas, as well as leather goods comprising handbags, luggage, small leather goods, and belts; home products, such as bed and bath lines, furniture, fabric and wall coverings, lighting, dining, floor coverings, decorative accessories, and giftware; and fragrances. The company sells apparel and accessories under the Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Golf Ralph Lauren, Ralph Lauren Golf, RLX Ralph Lauren, Polo Ralph Lauren Children, and Chaps brands; women's fragrances under the Ralph Lauren Collection, Woman by Ralph Lauren, Romance Collection, and Ralph Collection brand names; and men's fragrances under the Ralph's Club, Purple Label, Polo Blue, Polo Red, Polo Green, Polo Black, Polo 67, Safari, Polo Sport, and Big Pony Men's brand names. Its restaurant collection includes The Polo Bar in New York City; RL Restaurant in Chicago; Ralph's in Paris; The Bar at Ralph Lauren located in Milan; Ralph's Bar located in Chengdu, China; and Ralph's Coffee concept. The company sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites. It directly operates retail stores and concession-based shop-within-shops; and operates Ralph Lauren stores and shops through licensing partners. Ralph Lauren Corporation was founded in 1967 and is based in New York, New York.",Consumer Cyclical,Apparel Manufacturing,22425520128,USD,0.88,22.43B
PVH Corp.,https://www.pvh.com,NYQ,PVH,"PVH Corp., together with its subsidiaries, operates as an apparel company in the United States and internationally. The company operates through Tommy Hilfiger North America, Tommy Hilfiger International, Calvin Klein North America, Calvin Klein International, and Heritage Brands Wholesale segments. It designs and markets men's, women's, and children's branded apparel, footwear and accessories, underwear, sleepwear, outerwear, home furnishings, luggage, dresses, suits and swimwear, activewear, sportswear, socks and accessories, outerwear, golf products, footwear, watches and jewelry, eyeglasses and non-ophthalmic sunglasses, jeans wear, performance apparel, intimate apparel, dress shirts, handbags, fragrance, small leather goods, and other related products; and men's and boy's tailored clothing products, duvets, pillows, mattress pads and toppers, and feather beds. The company offers its products under its own brands, such as TOMMY HILFIGER, TOMMY JEANS, Calvin Klein, CK Calvin Klein, Calvin Klein Jeans, Calvin Klein Underwear, and Calvin Klein Performance, as well as various other owned, licensed, and private label brands. It distributes its products at wholesale in department, chain, and specialty stores; through warehouse clubs, mass market, and off-price and independent retailers; and through company-operated full-price, outlet stores, and concession locations; and through digital commerce sites. PVH Corp. was formerly known as Phillips-Van Heusen Corporation and changed its name to PVH Corp. in June 2011. The company was founded in 1881 and is based in New York, New York.",Consumer Cyclical,Apparel Manufacturing,3187454464,USD,0.52,3.19B
Burberry Group plc,https://www.burberryplc.com,PNK,BURBY,"Burberry Group plc, together with its subsidiaries, engages in manufacturing, retail, and wholesale of luxury goods under the Burberry brand in the Asia Pacific, Europe, the Middle East, India, Africa, and the Americas. The company operates in two segments, Retail/Wholesale and Licensing. It offers accessories, womenswear, menswear, childrenswear, and others, as well as eyewear and beauty, and bags. The company also licenses third parties to manufacture and distribute products using the Burberry trademarks. It sells its products through operated stores, concessions, outlets, digital commerce, Burberry franchisees, department stores, multi-brand specialty accounts, and through the Burberry.com website. Burberry Group plc was founded in 1856 and is headquartered in London, the United Kingdom.",Consumer Cyclical,Luxury Goods,6440410624,USD,0.52,6.44B
Capri Holdings Limited,https://www.capriholdings.com,NYQ,CPRI,"Capri Holdings Limited engages in the design, marketing, distribution, and retail of branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, Asia, and the Oceania. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, eyewear, watches, jewelry, fragrances, home furnishings, handbags, small leather goods, scarves and belts, and shoes and related accessories through a distribution network, including boutiques, and department and specialty stores, as well as through e-commerce sites. It also undertakes licensing agreements relating to manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",Consumer Cyclical,Luxury Goods,3112022528,USD,0.51,3.11B
V.F. Corporation,https://www.vfc.com,NYQ,VFC,"V.F. Corporation, together with its subsidiaries, offers branded apparel, footwear, and accessories for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through three segments: Outdoor, Active, and Work. The company provides outdoor apparel, footwear, equipment, accessories; style-forward and weather-ready footwear, apparel, and accessories; performance merino wool and other natural fibers-based apparel and accessories; performance-based footwear; and high performance apparel and accessories based on natural fibers under the Timberland, The North Face, Smartwool, Icebreaker, and Altra brands. It also offers youth culture/action sports-inspired and streetwear apparel, footwear, and accessories; handbags, luggage, backpacks, totes, and accessories; outdoor-inspired apparel, footwear, and accessories; and backpacks and luggage under the Vans, Kipling, Napapijri, Eastpak, and JanSport brands. In addition, the company provides work and work-inspired lifestyle apparel and footwear; and protective work footwear under the Dickies, and Timberland PRO brands. It sells its products primarily to specialty stores, department stores, national chains, independently-operated partnership stores, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms. V.F. Corporation was founded in 1899 and is headquartered in Denver, Colorado.",Consumer Cyclical,Apparel Manufacturing,7759794176,USD,0.46,7.76B
Columbia Sportswear Company,https://www.columbia.com,NMS,COLM,"Columbia Sportswear Company, together with its subsidiaries, designs, develops, markets, and distributes outdoor, active, and lifestyle products in the United States, Latin America, the Asia Pacific, Europe, the Middle East, Africa, and Canada. The company provides apparel, accessories, and equipment for hiking, trail running, snow, fishing, hunting, and outdoor activities. It also offers footwear products that include hiking boots; trail running shoes; rugged cold weather boots; sandals and shoes for use in water activities; and footwear for lifestyle wear. The company serves its products through wholesale distribution channel comprising small independently operated specialty outdoor and sporting goods stores, sporting goods chains, department store chains, internet retailers, and international distributors, as well as through direct-to-consumer distribution channel, including a network of branded, outlet, temporary clearance and employee retail stores, brand-specific e-commerce sites, and shop-in-shop retail locations. It sells its products under the Columbia, Mountain Hard Wear, prAna, and SOREL brands. Columbia Sportswear Company was founded in 1938 and is headquartered in Portland, Oregon.",Consumer Cyclical,Apparel Manufacturing,3066576128,USD,0.46,3.07B
Hermès International Société en commandite par actions,https://finance.hermes.com,PNK,HESAY,"Hermès International Société en commandite par actions engages in the production, wholesale, and retail of various goods. The company offers leather goods and saddlery, such as bags for men and women, travel articles, small leather goods and accessories, saddles, bridles, and a various equestrian products and clothing; ready-to-wear garments for men and women; and accessories, including jewelry, belts, hats, gloves, internet of things products, and shoes. It also provides silk and textiles for men and women; art of living and tableware products; beauty and perfume products; and watches. In addition, the company is involved in weaving, engraving, printing, dyeing, finishing, and producing textiles; purchasing, tanning, dyeing, finishing, and selling tanneries and precious leathers; and creation and production of metal parts. It sells its products through a network of stores in France, rest of Europe, Japan, the Asia Pacific, the Americas, and the Middle East, as well as sells watches, perfumes, and tableware through a network of specialized stores. The company was founded in 1837 and is headquartered in Paris, France. Hermès International Société en commandite par actions is a subsidiary of H51 SAS.",Consumer Cyclical,Luxury Goods,270791688192,USD,0.42,270.79B
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",https://www.lvmh.com,PNK,LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne, together with its subsidiaries, operates as a luxury goods company worldwide. The company offers wine and spirit products under the Ao Yun, Ardbeg, Armand de Brignac, Belvedere, Bodega Numanthia, Chandon, Cheval des Andes, Château Cheval Blanc, Château Galoupet, Château d'Yquem, Château d'Esclans, Cloudy Bay, Colgin Cellars, Dom Pérignon, Domaine des Lambrays, Eminente, Glenmorangie, Hennessy, Joseph Phelps, Krug, Mercier, Minuty, Moët & Chandon, Newton Vineyard, Ruinart, SirDavis, Terrazas de los Andes, Veuve Clicquot, Volcan de mi Tierra, and Woodinville brands; fashion and leather products under Barton Perreira,Berluti, Celine, Christian Dior, Fendi, Givenchy, Kenzo, Loewe, Loro Piana, Louis Vuitton, Marc Jacobs, Moynat, Patou, Pucci, Rimowa, and Vuarnet brands; and perfumes and cosmetics products under the Acqua di Parma, Benefit Cosmetics, Cha Ling, Fenty Beauty by Rihanna, Fresh, Givenchy Parfums, Guerlain, KVD Beauty, Kenzo Parfums, Loewe Perfumes, Maison Francis Kurkdjian, Make Up For Ever, OLEHENRIKSEN, Officine Universelle Buly, and Parfums Christian Dior brands. It also provides watches and jewelry under the Bvlgari, Chaumet, DANIEL ROTH, Fred, Gérald Genta, Hublot, L'Epée 1839, Repossi, TAG Heuer, Tiffany & Co., and Zenith brands; and selective retailing under the 24S, DFS, La Grande Épicerie de Paris, Le Bon Marché Rive Gauche, Samaritaine, and Sephora brands. In addition, the company offers french business and cultural news publications under the Les Echos group brand; high end yachts under the Feadship brand; hotels and hospitality activities under the Cheval Blanc and Belmond brands; and other activities under the Connaissance des Arts, Cova, Investir, Jardin d'Acclimatation, Le Parisien, Paris Match, and Radio Classique brands. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was founded in 1365 and is headquartered in Paris, France.",Consumer Cyclical,Luxury Goods,379235434496,USD,0.42,379.24B
Canada Goose Holdings Inc.,https://www.canadagoose.com,NYQ,GOOS,"Canada Goose Holdings Inc., together with its subsidiaries, designs, manufactures, and sells performance luxury outerwear, apparel, footwear, and accessories for men, women, youth, children, and babies. It operates through three segments: Direct-to-Consumer, Wholesale, and Other. The company offers leisure wear, including knitwear, sweats, and t-shirts; outerwear products, including windwear, jackets, fleece, and vests; footwear and accessories products, such as sneakers, boots, hats, scarves, gloves, hood trims, socks, bags, and eyewear; and lightweight and heavyweight down jackets for the fall, winter, and spring seasons. It sells its products through e-commerce channels and directly operated retail stores. The company offers its products under Canada Goose, Snow Goose, and Baffin brands in Canada, the United States, North America, Greater China, rest of the Asia Pacific, Europe, the Middle East, and Africa. Canada Goose Holdings Inc. was founded in 1957 and is headquartered in Toronto, Canada.",Consumer Cyclical,Apparel Manufacturing,1285358336,USD,0.39,1.29B
The Swatch Group AG,https://www.swatchgroup.com,EBS,UHR.SW,"The Swatch Group AG designs, manufactures, and sells finished watches, jewelry, and watch movements and components in Switzerland, rest of Europe, Greater China, rest of Asia, America, Oceania, and Africa. It operates through Watches & Jewelry and Electronic Systems segments. The Watches & Jewelry segment designs, produces, and commercializes watches and jewelry. Its Electronic Systems segment engages in the design, production, and commercialization of electronic components, as well as sports timing activities. The company is also involved in the provision of assembly, research and development, administration, polishing, logistics and distribution, and customer services; and hard material products, microelectronics, watch cases and crowns, miniature low-frequency quartz crystals, thin wires, miniature batteries, watch dials and hands, bracelets, sports timing technology and equipment, precision parts, electronic components assembly, and surface treatment products. In addition, it engages in the patent, retail, communication, real estate, real estate management, finance, reinsurance, and art center businesses. The company offers its watch and jewelry products under the Breguet, Harry Winston, Blancpain, Glashütte Original, Jaquet Droz, Omega, Longines, Rado, Union Glashütte, Tissot, Balmain, Certina, Mido, Hamilton, Swatch, and Flik Flak brands. The Swatch Group AG was founded in 1983 and is headquartered in Biel/Bienne, Switzerland.",Consumer Cyclical,Luxury Goods,9131698176,CHF,0.37,9.13B
